card_id,product_id,cardholder_ref,card_type,issue_date,activation_date,expiry_date,card_status
CARD-0000001,PRD-00001,CH-E27A984D,Virtual,2025-08-24,2025-08-28,2030-08-24,Active
CARD-0000002,PRD-00001,CH-24933B83,Virtual,2025-08-07,2025-08-11,2030-08-07,Active
CARD-0000003,PRD-00001,CH-BEB79919,Physical,2025-08-16,2025-08-16,2029-08-16,Expired
CARD-0000004,PRD-00001,CH-BF3C4C06,Physical,2025-08-21,2025-08-21,2029-08-21,Blocked
CARD-0000005,PRD-00001,CH-956269F0,Virtual,2025-08-11,2025-08-12,2028-08-11,Active
CARD-0000006,PRD-00001,CH-FF50BDE4,Virtual,2025-08-24,2025-08-28,2029-08-24,Active
CARD-0000007,PRD-00001,CH-7E570DDF,Physical,2025-08-01,2025-08-05,2028-08-01,Active
CARD-0000008,PRD-00001,CH-DC713D96,Physical,2025-08-02,2025-08-05,2029-08-02,Active
CARD-0000009,PRD-00001,CH-28F49481,Physical,2025-08-05,2025-08-07,2028-08-05,Active
CARD-0000010,PRD-00001,CH-98AE4334,Physical,2025-08-07,2025-08-09,2030-08-07,Active
CARD-0000011,PRD-00001,CH-988C24C9,Virtual,2025-08-25,2025-08-29,2030-08-25,Expired
CARD-0000012,PRD-00001,CH-405CACEC,Physical,2025-08-24,2025-08-25,2028-08-24,Expired
CARD-0000013,PRD-00001,CH-F143262F,Physical,2025-08-26,2025-08-27,2028-08-26,Expired
CARD-0000014,PRD-00001,CH-1D53434B,Virtual,2025-08-24,2025-08-29,2029-08-24,Active
CARD-0000015,PRD-00001,CH-C0398710,Virtual,2025-08-28,2025-08-29,2030-08-28,Active
CARD-0000016,PRD-00001,CH-5715BD6F,Physical,2025-08-26,2025-08-29,2030-08-26,Active
CARD-0000017,PRD-00001,CH-287D06CA,Virtual,2025-08-08,2025-08-10,2028-08-08,Active
CARD-0000018,PRD-00001,CH-B8DB0672,Physical,2025-08-10,2025-08-13,2028-08-10,Active
CARD-0000019,PRD-00001,CH-F8CDA88B,Virtual,2025-08-11,2025-08-13,2029-08-11,Blocked
CARD-0000020,PRD-00001,CH-81F76D1C,Virtual,2025-08-21,2025-08-21,2030-08-21,Active
CARD-0000021,PRD-00001,CH-A013AC6E,Virtual,2025-08-04,2025-08-04,2029-08-04,Active
CARD-0000022,PRD-00001,CH-81F631D4,Virtual,2025-08-04,2025-08-07,2030-08-04,Active
CARD-0000023,PRD-00001,CH-5FB8D16C,Physical,2025-08-20,2025-08-22,2030-08-20,Active
CARD-0000024,PRD-00001,CH-F4188F3F,Physical,2025-08-02,2025-08-04,2030-08-02,Active
CARD-0000025,PRD-00001,CH-EB2263DD,Virtual,2025-08-14,2025-08-18,2028-08-14,Closed
CARD-0000026,PRD-00001,CH-7D154385,Virtual,2025-08-11,2025-08-15,2030-08-11,Blocked
CARD-0000027,PRD-00001,CH-5CEC4EB5,Virtual,2025-08-10,2025-08-15,2030-08-10,Active
CARD-0000028,PRD-00001,CH-CE88CB2D,Virtual,2025-08-10,2025-08-15,2030-08-10,Active
CARD-0000029,PRD-00001,CH-3DA9C2A9,Physical,2025-08-13,2025-08-17,2030-08-13,Active
CARD-0000030,PRD-00001,CH-14296C07,Physical,2025-08-19,2025-08-21,2029-08-19,Active
CARD-0000031,PRD-00001,CH-D0E6E660,Virtual,2025-08-10,2025-08-13,2028-08-10,Active
CARD-0000032,PRD-00001,CH-885F6E66,Virtual,2025-08-15,2025-08-20,2029-08-15,Active
CARD-0000033,PRD-00001,CH-A8E56E0C,Virtual,2025-08-06,2025-08-06,2030-08-06,Active
CARD-0000034,PRD-00001,CH-2A45C2AB,Physical,2025-08-27,2025-08-28,2028-08-27,Active
CARD-0000035,PRD-00001,CH-9B49BD26,Virtual,2025-08-05,2025-08-09,2028-08-05,Active
CARD-0000036,PRD-00001,CH-EDCD465E,Physical,2025-08-28,2025-09-02,2028-08-28,Active
CARD-0000037,PRD-00001,CH-B09B2A5C,Physical,2025-08-23,2025-08-24,2029-08-23,Active
CARD-0000038,PRD-00001,CH-66245BFA,Physical,2025-08-21,2025-08-24,2030-08-21,Active
CARD-0000039,PRD-00001,CH-5F987C71,Virtual,2025-08-08,2025-08-08,2028-08-08,Active
CARD-0000040,PRD-00001,CH-7394988F,Physical,2025-08-18,2025-08-21,2028-08-18,Expired
CARD-0000041,PRD-00001,CH-1064005C,Virtual,2025-08-05,2025-08-08,2029-08-05,Active
CARD-0000042,PRD-00001,CH-8DCDCD03,Virtual,2025-08-20,2025-08-24,2030-08-20,Expired
CARD-0000043,PRD-00001,CH-01D74256,Virtual,2025-08-15,2025-08-18,2028-08-15,Active
