transaction_id,authorisation_id,card_id,product_id,transaction_datetime,settlement_date,transaction_type,merchant_id,mcc_code,transaction_amount,currency,interchange_amount,scheme_fee_amount,processor_fee_amount,net_settlement_amount,transaction_status
TXN-000000001,AUTH-000000001,CARD-0000030,PRD-00001,2025-08-01 21:45:44,2025-08-04,Purchase,MER-4814-8963,4814,47.59,GBP,0.7739,0.0362,0.0672,46.71,Settled
TXN-000000002,AUTH-000000002,CARD-0000059,PRD-00001,2025-08-01 09:49:27,2025-08-02,Purchase,MER-5200-5853,5200,518.34,GBP,5.3012,0.809,0.0711,512.16,Settled
TXN-000000003,AUTH-000000003,CARD-0000004,PRD-00001,2025-08-02 11:05:52,2025-08-03,Purchase,MER-8220-1093,8220,5.44,GBP,0.0198,0.0085,0.09,5.32,Settled
TXN-000000004,AUTH-000000005,CARD-0000027,PRD-00001,2025-08-03 13:18:44,2025-08-04,Purchase,MER-7011-2627,7011,109.58,GBP,1.1759,0.31,0.0353,108.06,Settled
TXN-000000005,AUTH-000000007,CARD-0000046,PRD-00001,2025-08-05 10:45:09,2025-08-05,Purchase,MER-5812-8517,5812,20.1,GBP,0.2914,0.0562,0.1321,19.62,Settled
TXN-000000006,AUTH-000000008,CARD-0000036,PRD-00001,2025-08-08 06:52:42,2025-08-08,Purchase,MER-7832-7947,7832,140.05,GBP,0.4897,0.4122,0.0802,139.07,Settled
TXN-000000007,AUTH-000000010,CARD-0000022,PRD-00001,2025-08-14 20:41:18,2025-08-14,Purchase,MER-4511-6984,4511,13.75,GBP,0.1564,0.0288,0.1381,13.43,Settled
TXN-000000008,AUTH-000000011,CARD-0000062,PRD-00001,2025-08-15 10:48:10,2025-08-15,Purchase,MER-8220-6692,8220,59.65,GBP,1.0548,0.1666,0.0212,58.41,Settled
TXN-000000009,AUTH-000000012,CARD-0000040,PRD-00001,2025-08-16 19:20:26,2025-08-17,Purchase,MER-7832-7947,7832,32.55,GBP,0.0991,0.0449,0.0555,32.35,Settled
TXN-000000010,AUTH-000000013,CARD-0000017,PRD-00001,2025-08-16 01:56:00,2025-08-16,Purchase,MER-5734-9401,5734,62.29,GBP,0.9873,0.1795,0.1045,61.02,Settled
TXN-000000011,AUTH-000000014,CARD-0000001,PRD-00001,2025-08-16 09:56:12,2025-08-16,Purchase,MER-4121-5773,4121,50.55,GBP,0.8158,0.0481,0.11,49.58,Settled
TXN-000000012,AUTH-000000015,CARD-0000021,PRD-00001,2025-08-17 03:23:02,2025-08-18,Purchase,MER-6051-3440,6051,36.86,GBP,0.2723,0.1005,0.1084,36.38,Settled
TXN-000000013,AUTH-000000016,CARD-0000025,PRD-00001,2025-08-17 15:37:56,2025-08-17,Purchase,MER-8011-1419,8011,98.17,GBP,0.4542,0.0528,0.0234,97.64,Settled
TXN-000000014,AUTH-000000017,CARD-0000048,PRD-00001,2025-08-18 23:10:41,2025-08-20,Purchase,MER-5734-2587,5734,80.39,GBP,1.2758,0.0489,0.118,78.95,Settled
TXN-000000015,AUTH-000000018,CARD-0000039,PRD-00001,2025-08-20 20:48:30,2025-08-22,Purchase,MER-5541-8321,5541,155.16,GBP,2.681,0.2763,0.1385,152.06,Settled
TXN-000000016,AUTH-000000019,CARD-0000045,PRD-00001,2025-08-21 22:47:30,2025-08-24,Purchase,MER-5812-8504,5812,41.91,GBP,0.425,0.0729,0.0904,41.32,Settled
TXN-000000017,AUTH-000000020,CARD-0000055,PRD-00001,2025-08-22 12:22:27,2025-08-22,Purchase,MER-8011-1419,8011,221.51,GBP,3.2501,0.3782,0.0267,217.85,Settled
TXN-000000018,AUTH-000000021,CARD-0000033,PRD-00001,2025-08-23 14:33:13,2025-08-24,Purchase,MER-8220-1093,8220,88.77,GBP,0.6149,0.2453,0.0736,87.84,Settled
TXN-000000019,AUTH-000000023,CARD-0000039,PRD-00001,2025-08-24 04:32:51,2025-08-24,Purchase,MER-4814-5844,4814,163.41,GBP,0.7438,0.4383,0.0635,162.16,Settled
TXN-000000020,AUTH-000000024,CARD-0000062,PRD-00001,2025-08-25 16:16:46,2025-08-25,Purchase,MER-8011-7504,8011,152.6,GBP,1.7337,0.2891,0.0343,150.54,Settled
